Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bathroom Roll,Vinda Deluxe Smooth Feel Toilet Tissue (3ply) 250pcs x 8,250pcs x 8,24.45,,,,,"<a href=""https://jgsj.jayagrocer.com/products/vinda-deluxe-smooth-feel-toilet-tissue-8rolls-1?variant=41612368380071"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Vinda Deluxe Smooth Feel Toilet Tissue 3ply 250pcs x 16,250pcs x 16,35.95,,,,,"<a href=""https://jgsj.jayagrocer.com/products/vinda-deluxe-smooth-feel-toilet-tissue-3ply-250pcs-x-16?variant=43328764018855"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,"Vinda Prestige 3ply 4D Bathroom Tissue pack, 16pcs",16 pcs,35.95,,,,2.25,"<a href=""https://jgsj.jayagrocer.com/products/vinda-prestige-3ply-4d-bathroom-tissue-16pcs-pack?variant=47177088794791"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Active Replenish Isotonic Drink (Bottle) 500ml,500 ml,2.30,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-active-500ml-1?variant=42523831599271"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Isotonic Drink 1.5L,1.5 liter,3.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-original-isotonic-drink-1-5l-1?variant=41612032770215"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Lemon Lime 1.5L,1.5 liter,3.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-lemon-lime-1-5l?variant=46210847539367"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Original Isotonic Drink (Can) 325ml,325 ml,1.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-original-isotonic-drink-325ml-1?variant=41612029821095"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Original Zero Sugar Can 325ml,325 ml,10.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-original-zero-sugar-can-325ml?variant=46210848555175"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Pro High Protein 500ml,500 ml,6.10,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-pro-high-protein-500ml?variant=46210847735975"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,100 Plus Reduced Sugar Original Isotonic Drink 1.5L,1.5 liter,3.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-reduced-sugar-original-isotonic-drink-1-5l-1?variant=41612455346343"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
