Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,Lotuss Hot Dog Bun 10pcs,10 pcs,4.69,,,,0.47,"<a href=""https://www.lotuss.com.my/en/product/hot-dog-bun-10s-74794957"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Hot Dog Bun 6pcs,6 pcs,2.99,,,,0.50,"<a href=""https://www.lotuss.com.my/en/product/hot-dog-bun-6s-74520199"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Marble Cake,400 g,11.59,,,,,"<a href=""https://www.lotuss.com.my/en/product/marble-cake-400g-74843621"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Orange Chiffon Cake,,7.19,,,,,"<a href=""https://www.lotuss.com.my/en/product/orange-chiffon-cake-74754556"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Pandan Chiffon Cake,,7.19,,,,,"<a href=""https://www.lotuss.com.my/en/product/pandan-chiffon-cake-74439316"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Potato Bread (1759),,4.99,,,,,"<a href=""https://www.lotuss.com.my/en/product/75154123"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Potato Bread 9Pcs,9 pcs,3.29,4.29,1.00,23.30,0.37,"<a href=""https://www.lotuss.com.my/en/product/potato-bread-9pcs-74261460"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Rainbow Donut (0900) 4pcs,4 pcs,6.69,,,,1.67,"<a href=""https://www.lotuss.com.my/en/product/rainbow-donut-4pcs-0900-73782750"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Red Velvet Cupcake 4pcs,4 pcs,4.99,,,,1.25,"<a href=""https://www.lotuss.com.my/en/product/red-velvet-cupcake-4s-74618504"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Red Velvet Marble Cake,400 g,11.59,,,,,"<a href=""https://www.lotuss.com.my/en/product/75134247"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
