Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,Arizona Diet Green Tea 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-diet-green-tea-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Fruit Punch 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-fruit-punch-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Green Tea Ginseng Honey 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-green-tea-ginseng-honey-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Lemon Tea Big Can 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-lemon-tea-big-can-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Lemonade 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-lemonade-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Mucho Mango 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-mucho-mango-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Orangeade 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-orangeade-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Peach Tea 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-peach-tea-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Tea Grapeade 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-tea-grapeade-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Tea Kiwi Strawberry 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-tea-kiwi-strawberry-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arizona Tea Watermelon 22Fl Oz,,6.49,7.00,0.51,7.30,https://vgg.bites.com.my/collections/beverages/products/arizona-tea-watermelon-22fl-oz,https://vgg.bites.com.my/collections/beverages
Beverages,Arkadia Chai Tea  Spice 240G,240 g,23.20,,,,https://vgg.bites.com.my/collections/beverages/products/arkadia-chai-tea-spice-240g,https://vgg.bites.com.my/collections/beverages
Beverages,Arkadia Chai Tea Matcha 220G,220 g,23.20,,,,https://vgg.bites.com.my/collections/beverages/products/arkadia-chai-tea-matcha-220g,https://vgg.bites.com.my/collections/beverages
Beverages,Arkadia Chai Tea Vanilla 240G,240 g,23.20,,,,https://vgg.bites.com.my/collections/beverages/products/arkadia-chai-tea-vanilla-240g,https://vgg.bites.com.my/collections/beverages
Beverages,Asahi Style Balance Highball Non-Alcohol 350Ml,350 ml,8.99,9.50,0.51,5.40,https://vgg.bites.com.my/collections/beverages/products/asahi-style-balance-highball-non-alcohol-350ml,https://vgg.bites.com.my/collections/beverages
Beverages,Asahi Style Balance Yuzu Sour Non-Alcohol 350Ml,350 ml,8.99,9.50,0.51,5.40,https://vgg.bites.com.my/collections/beverages/products/asahi-style-balance-yuzu-sour-non-alcohol-350ml,https://vgg.bites.com.my/collections/beverages
Beverages,Asahi Wonda Kiwami Black Coffee 400G,400 g,7.99,8.90,0.91,10.20,https://vgg.bites.com.my/collections/beverages/products/asahi-wonda-kiwami-black-coffee-400g,https://vgg.bites.com.my/collections/beverages
Beverages,Aust Own A2 Protein Full Cream Milk 1L,1 liter,10.05,,,,https://vgg.bites.com.my/collections/beverages/products/aust-own-a2-protein-full-cream-milk-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Aust Own Full Cream Milk 1L,1 liter,9.00,,,,https://vgg.bites.com.my/collections/beverages/products/aust-own-full-cream-milk-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Aust Own Low Fat Milk 1L,1 liter,9.00,,,,https://vgg.bites.com.my/collections/beverages/products/aust-own-low-fat-milk-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Australia's Own Org Barista Almond Milk 1L,1 liter,18.15,,,,https://vgg.bites.com.my/collections/beverages/products/australia-s-own-org-barista-almond-milk-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Australia's Own Skim Milk 1L,1 liter,9.00,,,,https://vgg.bites.com.my/collections/beverages/products/australia-s-own-skim-milk-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Tea House Ayataka 1.5L,1.5 liter,6.10,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-tea-house-ayataka-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Tea House Ayataka 300Ml,300 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-tea-house-ayataka-300ml,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Tea House Oolong Tea 1.5L,1.5 liter,6.10,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-tea-house-oolong-tea-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Tea House Oolong Tea 300Ml,300 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-tea-house-oolong-tea-300ml,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Tea House Oolong Tea 500Ml,500 ml,3.00,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-tea-house-oolong-tea-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Tea Hse Ayataka 500Ml,500 ml,3.00,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-tea-hse-ayataka-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,Authentic Thai Palm Sugar 200G,200 g,12.10,,,,https://vgg.bites.com.my/collections/beverages/products/authentic-thai-palm-sugar-200g,https://vgg.bites.com.my/collections/beverages
Beverages,Beanies Amaretto Almond Instant Coffee Jar 50G,50 g,19.90,,,,https://vgg.bites.com.my/collections/beverages/products/beanies-amaretto-almond-instant-coffee-jar-50g,https://vgg.bites.com.my/collections/beverages
Beverages,Beanies Double Chocolate Instant Coffee Jar 50G,50 g,19.90,,,,https://vgg.bites.com.my/collections/beverages/products/beanies-double-chocolate-instant-coffee-jar-50g,https://vgg.bites.com.my/collections/beverages
Beverages,Beechworth Sparkling Honey Nectar 250Ml,250 ml,12.69,14.45,1.76,12.20,https://vgg.bites.com.my/collections/beverages/products/beechworth-sparkling-honey-nectar-250ml,https://vgg.bites.com.my/collections/beverages
Beverages,Beechworth Sparkling Honey+Ginger 250Ml,250 ml,12.69,14.45,1.76,12.20,https://vgg.bites.com.my/collections/beverages/products/beechworth-sparkling-honey-ginger-250ml,https://vgg.bites.com.my/collections/beverages
